id,foodName,productName,price,quantity,unit
173,Red Wine Vinegar,500mL Red Wine Vinegar,$3.50,500,mL
174,Rice Vinegar,500mL Rice Vinegar,$2.99,500,mL
175,White Vinegar,1L White Vinegar,$1.99,1000,mL
176,Canola Oil,1L Canola Oil,$3.99,1000,mL
177,Corn Oil,1L Corn Oil,$3.50,1000,mL
178,Grapeseed Oil,500mL Grapeseed Oil,$5.99,500,mL
179,Olive Oil,500mL Olive Oil,$6.99,500,mL
180,Peanut Oil,1L Peanut Oil,$4.50,1000,mL
181,Sesame Oil,250mL Sesame Oil,$6.99,250,mL
182,Sunflower Oil,1L Sunflower Oil,$3.99,1000,mL
183,Vegetable Oil,1L Vegetable Oil,$2.99,1000,mL
184,Walnut Oil,250mL Walnut Oil,$7.99,250,mL
185,Almond Flour,500g Almond Flour,$7.99,500,g
186,Coconut Flour,500g Coconut Flour,$4.99,500,g
187,Corn Flour,500g Corn Flour,$2.50,500,g
188,Cornmeal,500g Cornmeal,$2.99,500,g
189,Rice Flour,500g Rice Flour,$3.50,500,g
190,Rye Flour,500g Rye Flour,$3.99,500,g
191,Semolina Flour,500g Semolina Flour,$3.50,500,g
192,Whole Wheat Flour,500g Whole Wheat Flour,$2.99,500,g
193,Baking Powder,200g Baking Powder,$2.50,200,g
194,Baking Soda,200g Baking Soda,$1.99,200,g
195,Cocoa Powder,250g Cocoa Powder,$4.50,250,g
196,Cornstarch,250g Cornstarch,$2.99,250,g
197,Vanilla Extract,100mL Vanilla Extract,$7.99,100,mL
198,Yeast,100g Active Dry Yeast,$2.99,100,g
199,Sugar,1kg Granulated Sugar,$3.99,1000,g
200,Brown Sugar,500g Brown Sugar,$2.99,500,g
201,Powdered Sugar,500g Powdered Sugar,$3.50,500,g
202,Honey,500mL Organic Honey,$9.99,500,mL
203,Maple Syrup,500mL Pure Maple Syrup,$10.99,500,mL
204,Agave Syrup,250mL Agave Syrup,$5.99,250,mL
205,Molasses,250mL Molasses,$4.50,250,mL
206,Stevia,100g Stevia Sweetener,$6.99,100,g
207,Almond Butter,500g Almond Butter,$9.99,500,g
208,Peanut Butter,1kg Peanut Butter,$6.99,1000,g
209,Cashew Butter,250g Cashew Butter,$7.99,250,g
210,Hazelnut Spread,400g Hazelnut Spread,$5.99,400,g
211,Apple Sauce,500g Apple Sauce,$3.99,500,g
212,Fruit Preserves,300g Mixed Fruit Preserves,$4.50,300,g
213,Marmalade,300g Orange Marmalade,$4.99,300,g
214,Chutney,250g Mango Chutney,$5.50,250,g
215,Salsa,500g Salsa,$4.99,500,g
216,Ketchup,500mL Ketchup,$2.99,500,mL
217,Mayonnaise,500mL Mayonnaise,$3.99,500,mL
218,Mustard,250mL Mustard,$2.50,250,mL
219,BBQ Sauce,500mL BBQ Sauce,$4.99,500,mL
220,Hot Sauce,250mL Hot Sauce,$3.99,250,mL
221,Soy Sauce,500mL Soy Sauce,$2.99,500,mL
222,Teriyaki Sauce,500mL Teriyaki Sauce,$4.50,500,mL
223,Worcestershire Sauce,250mL Worcestershire Sauce,$3.50,250,mL
224,Fish Sauce,250mL Fish Sauce,$3.99,250,mL
225,Hoisin Sauce,250mL Hoisin Sauce,$3.99,250,mL
226,Sriracha,500mL Sriracha,$4.99,500,mL
227,Chili Sauce,500mL Chili Sauce,$3.99,500,mL
228,Tahini,250g Tahini,$5.99,250,g
229,Pesto,200g Basil Pesto,$4.99,200,g
230,Alfredo Sauce,500mL Alfredo Sauce,$5.50,500,mL
231,Marinara Sauce,500mL Marinara Sauce,$4.50,500,mL
232,Carbonara Sauce,500mL Carbonara Sauce,$5.99,500,mL
233,Vodka Sauce,500mL Vodka Sauce,$5.99,500,mL
234,Bolognese Sauce,500mL Bolognese Sauce,$6.50,500,mL
235,Arrabbiata Sauce,500mL Arrabbiata Sauce,$4.99,500,mL
236,Bechamel Sauce,500mL Bechamel Sauce,$5.50,500,mL
237,Red Curry Paste,200g Red Curry Paste,$4.50,200,g
238,Green Curry Paste,200g Green Curry Paste,$4.50,200,g
239,Yellow Curry Paste,200g Yellow Curry Paste,$4.50,200,g
240,Garam Masala,100g Garam Masala,$3.99,100,g
241,Cumin,100g Ground Cumin,$2.99,100,g
242,Coriander,100g Ground Coriander,$2.99,100,g
243,Turmeric,100g Ground Turmeric,$3.50,100,g
244,Paprika,100g Paprika,$2.50,100,g
245,Chili Powder,100g Chili Powder,$2.99,100,g
246,Cayenne Pepper,100g Cayenne Pepper,$3.99,100,g
247,Black Pepper,100g Ground Black Pepper,$3.50,100,g
248,Sea Salt,500g Sea Salt,$2.99,500,g
249,Himalayan Pink Salt,500g Himalayan Pink Salt,$4.99,500,g
250,Kosher Salt,500g Kosher Salt,$3.50,500,g
251,White Rice,2kg White Rice,$7.50,2000,g
252,Brown Rice,2kg Brown Rice,$8.99,2000,g
253,Basmati Rice,2kg Basmati Rice,$11.99,2000,g
254,Jasmine Rice,2kg Jasmine Rice,$10.99,2000,g
255,Wild Rice,1kg Wild Rice,$11.99,1000,g
256,White Bread,1 Loaf White Bread,$6.49,750,g
257,Italian Sausage,6 Italian Sausages,$11.99,600,g
258,Parmesan Cheese,1 Block,$8.99,250,g
259,White Flour,1kg White Flour,$5.00,1000,g
260,Spaghetti,500g Spaghetti,3.99,500,g
